,property_id,property_type,price,city,province_name,latitude,longitude,baths,bedrooms,date_added,agency,agent,Total_Area,year,month,date
158889,17307030,Upper Portion,1800000,Karachi,Sindh,24.903253,67.052279,1,1,2019-07-17,Invest Property Point,Tasneem Sheikh,4900.518,2019,7,2019-07-01
158890,17307031,Upper Portion,1700000,Karachi,Sindh,24.903253,67.052279,1,1,2019-07-17,Invest Property Point,Tasneem Sheikh,4900.518,2019,7,2019-07-01
158891,17307033,Upper Portion,1800000,Karachi,Sindh,24.903253,67.052279,1,1,2019-07-17,Invest Property Point,Tasneem Sheikh,4900.518,2019,7,2019-07-01
158892,17307034,Upper Portion,1700000,Karachi,Sindh,24.903253,67.052279,1,1,2019-07-17,Invest Property Point,Tasneem Sheikh,4900.518,2019,7,2019-07-01
158893,17307035,Upper Portion,1700000,Karachi,Sindh,24.903253,67.052279,1,1,2019-07-17,Invest Property Point,Tasneem Sheikh,4900.518,2019,7,2019-07-01
158894,17307038,Upper Portion,1700000,Karachi,Sindh,24.903253,67.052279,1,1,2019-07-17,Invest Property Point,Tasneem Sheikh,4900.518,2019,7,2019-07-01
158895,17307040,Flat,11900000,Karachi,Sindh,25.020961,67.321172,3,3,2019-07-17,Al Hafiz Estate,Sharif Haris Khan,2722.51,2019,7,2019-07-01
158896,17307041,Upper Portion,1900000,Karachi,Sindh,24.903253,67.052279,1,1,2019-07-17,Invest Property Point,Tasneem Sheikh,4900.518,2019,7,2019-07-01
158897,17307044,Upper Portion,1900000,Karachi,Sindh,24.903253,67.052279,1,1,2019-07-17,Invest Property Point,Tasneem Sheikh,4900.518,2019,7,2019-07-01
158898,17307046,Upper Portion,1900000,Karachi,Sindh,24.903253,67.052279,1,1,2019-07-17,Invest Property Point,Tasneem Sheikh,4900.518,2019,7,2019-07-01
